"iso3","location","year","inc","discretionary","processed","outside"
"CHN","China",2019,0,7.11689,1.29996987827303,2.25314012172697
"CRI","Costa Rica",2019,0,2.4948,0.540846242388201,0.814353757611799
"ECU","Ecuador",2019,0,2.4723,0.438704417349343,0.778995582650657
"IND","India",2019,0,3.45787,0.0794,0.43273
"VNM","Vietnam",2019,0,0.59535,2.83962739261022,0.975022607389785
"ETH","Ethiopia",2019,0,2.12,0.053,0.477
"THA","Thailand",2019,0,1.598,2.08084015619396,1.02115984380604
"BGD","Bangladesh",2019,0,4.07628,0.0936,0.51012
"PHL","Philippines",2019,0,1.5164,1.97458448864363,0.969015511356373
"ZAF","South Africa",2019,0,1.27836,1.21440680250751,0.687233197492485
"NGA","Nigeria",2019,0,1.02912,0.97763566491171,0.55324433508829
"AUS","Australia",2019,0,0.63315,1.97956234730016,0.737287652699844
"NZL","New Zealand",2019,0,0.6915,2.90054909005735,1.01795090994265
"BRA","Brazil",2019,0,2.56432,0.402748708766406,0.792931291233594
"USA","United States",2019,0,0.53655,3.44080116441491,1.13264883558509
"BEN","Benin",2019,0,1.5184,0.776985522673583,0.624614477326417
"MOZ","Mozambique",2019,0,1.59265,0.494496559692602,0.562853440307398
"BRN","Brunei",2019,0,3.9406,1.14839694272545,1.37100305727455
"JPN","Japan",2019,0,3.1735,1.365474903309,1.231025096691
"JOR","Jordan",2019,0,1.3685,1.69271156320733,0.848788436792673
"KOR","South Korea",2019,0,2.0358,2.054931296449,1.129268703551
"TUR","Turkey",2019,0,1.2833,1.17073962796484,0.675960372035159
"AUT","Austria",2019,0,0.88256,2.19287504126967,0.864564958730328
"DNK","Denmark",2019,0,0.4008,2.19981258640451,0.739387413595491
"FIN","Finland",2019,0,0.8001,2.17286591724009,0.837034082759914
"PRT","Portugal",2019,0,1.5717,1.58646994725852,0.871830052741484
"ROU","Romania",2019,0,2.7938,0.814188544532905,0.972011455467096
"CAN","Canada",2019,0,0.7225,2.59062818979308,0.936871810206925
"GTM","Guatemala",2019,0,2.0636,0.055626584883181,0.560773415116819
"AFG","Afghanistan",2019,0,2.07835484550494,0.638965223911256,0.732679930583807
"AGO","Angola",2019,0,1.87003527589475,0.626008921057723,0.673955803047528
"ALB","Albania",2019,0,2.48584841575974,0.968879868907542,0.935271715332722
"AND","Andorra",2019,0,1.21879015450621,1.94832187770282,0.882887967790963
"ARE","United Arab Emirates",2019,0,1.22514414986574,2.30698843840778,0.987867411726482
"ARG","Argentina",2019,0,2.00762830743549,0.956815836369447,0.805555856195067
"ARM","Armenia",2019,0,2.3844572706699,0.905337639416517,0.890205089913585
"ASM","American Samoa",2019,0,1.27800852882424,0.710100034863768,0.541891436311988
"ATG","Antigua and Barbuda",2019,0,1.31919265327989,0.894836736340882,0.605970610379226
"AZE","Azerbaijan",2019,0,2.51069417531108,0.952261628668302,0.937044196020622
"BDI","Burundi",2019,0,1.54146180301906,0.467090812506807,0.54144738447413
"BEL","Belgium",2019,0,0.908116535703843,1.80289343268313,0.758990031613022
"BFA","Burkina Faso",2019,0,1.6512282129693,0.514650196154773,0.584121590875929
"BGR","Bulgaria",2019,0,2.42066921944425,1.14930083468668,0.970029945869075
"BHR","Bahrain",2019,0,1.80562090081389,1.60535815396144,0.939020945224677
"BHS","Bahamas, The",2019,0,1.04074957614607,1.17584765256678,0.613402771287146
"BIH","Bosnia and Herzegovina",2019,0,2.45759541425897,0.988841768472873,0.933562817268162
"BLR","Belarus",2019,0,2.15020442845028,0.894539051752954,0.82525651979677
"BLZ","Belize",2019,0,1.48612862639366,0.599030135403709,0.564841238202627
"BMU","Bermuda",2019,0,0.302,2.04832497324274,0.669675026757259
"BOL","Bolivia",2019,0,2.07223375463309,0.738138552961639,0.759627692405274
"BRB","Barbados",2019,0,1.28433646027761,0.882459245092942,0.593204294629452
"BTN","Bhutan",2019,0,2.86989475446264,1.02677706010373,1.05332818543363
"BWA","Botswana",2019,0,1.94285122050686,0.80299570052962,0.744153078963519
"CAF","Central African Republic",2019,0,1.65810809611542,0.507898698672248,0.583993205212336
"CHE","Switzerland",2019,0,0.4,2.71301320959303,0.886986790406965
"CHL","Chile",2019,0,2.0918202918059,1.20804145663375,0.900138251560344
"CIV","Cote d'Ivoire",2019,0,2.21532526505491,0.745230844633174,0.799443890311913
"CMR","Cameroon",2019,0,1.68904905444482,0.547409978305744,0.60354096724944
"COD","Congo, Dem. Rep.",2019,0,1.29998458742103,0.401270808016695,0.458744604562279
"COG","Congo, Rep.",2019,0,1.83322285145705,0.623315027963806,0.663462120579145
"COL","Colombia",2019,0,2.55267031688509,1.04305462887601,0.974275054238895
"COM","Comoros",2019,0,1.59444327442894,0.516028365600925,0.569528359970133
"CPV","Cabo Verde",2019,0,1.72606023010818,0.627547549076515,0.636392220815303
"CUB","Cuba",2019,0,1.43271270569207,0.659213132334324,0.568074161973609
"CYP","Cyprus",2019,0,1.49713534293955,1.51989345547184,0.832971201588613
"CZE","Czechia",2019,0,2.03602418318366,1.66651769674731,1.01745812006904
"DEU","Germany",2019,0,0.992498977832132,1.98405730132529,0.833443720842574
"DJI","Djibouti",2019,0,1.60836734355674,0.556711237860261,0.584921418583003
"DMA","Dominica",2019,0,1.46577625585685,0.657822069868758,0.57640167427439
"DOM","Dominican Republic",2019,0,1.49534619799226,0.659859421129754,0.58479438087799
"DZA","Algeria",2019,0,2.29406999057306,0.838760760319875,0.847169249107067
"EGY","Egypt, Arab Rep.",2019,0,2.28272898690966,0.795543025242429,0.831727987847915
"ERI","Eritrea",2019,0,NA,NA,NA
